,retweetcount,has Supreme Court case-insensitive
1460,7,False
1461,0,False
1462,0,False
1463,7,False
1464,510,False
1465,7,False
1466,0,False
1467,1,False
1468,2,False
1469,889,False
1470,2,False
1471,0,False
1472,2,False
1473,0,False
1474,0,False
1475,0,False
1476,59,False
1477,1,False
1478,2226,False
1479,4,False
1480,0,False
1481,0,False
1482,2208,False
1483,0,False
1484,0,False
1485,0,False
1486,0,False
1487,0,False
1488,0,False
1489,0,False
1490,1,False
1491,2,False
1492,0,False
1493,18,False
1494,1,False
1495,2,False
1496,1,False
1497,7,False
1498,10,False
1499,4,False
1500,592,False
1501,5,False
1502,3,False
1503,16,False
1504,7,False
1505,1,False
1506,0,False
1507,825,False
1508,1,False
1509,1,False
1510,0,False
1511,8,False
1512,8,False
1513,0,False
1514,54,False
1515,30,False
1516,3,False
1517,0,False
1518,30,False
1519,2,False
1520,2,False
1521,2,False
1522,13,False
1523,7,False
1524,8,False
1525,9,False
1526,1,False
1527,0,False
1528,4,False
1529,0,False
1530,0,False
1531,2,False
1532,14,False
1533,8,False
1534,2,False
1535,0,False
1536,8,False
1537,0,False
1538,22,False
1539,3,False
1540,31,False
1541,889,False
1542,1175,False
1543,0,False
1544,1,False
1545,40,False
1546,1,False
1547,1,False
1548,13,False
1549,13,False
1550,16,False
1551,4,False
1552,13,False
1553,2226,False
1554,9,False
1555,30,False
1556,8,False
1557,7,False
1558,30,False
1559,13,False
1560,0,False
1561,0,False
1562,7,False
1563,3,False
1564,13,False
1565,7,False
1566,1,False
1567,13,False
1568,7,False
1569,2,False
1571,9,False
1572,1,False
1573,0,False
1574,1,False
1575,1,False
1576,0,False
1577,16,False
1578,63,False
1579,251,False
1580,28,False
1581,0,False
1582,343,False
1583,124,False
1584,0,False
1585,257,False
1586,0,False
1587,22,False
1588,38,False
1589,239,False
1590,1174,False
1591,510,False
1592,50,False
1593,285,False
1594,51,False
1595,16,False
1596,825,False
1597,592,False
1598,889,False
1599,1175,False
1600,2226,False
1601,2208,False
1602,16,False
1603,2,False
1604,16,False
1605,16,False
1606,4,False
1607,16,False
1608,16,False
1609,16,False
1610,2,False
1611,0,False
1612,0,False
1613,16,False
1614,16,False
1615,16,False
1616,16,False
1617,16,False
1618,16,False
1619,16,False
1620,2208,False
1621,16,False
1622,9,False
1623,1,False
1624,13,False
1625,0,False
1626,2226,False
1627,5,False
1628,825,False
1629,0,False
1630,0,False
1631,40,False
1632,0,False
1633,16,False
1634,2,False
1635,1,False
1636,1,False
1637,16,False
1638,2,False
1639,0,False
1640,68,False
1641,1,False
1642,0,False
1643,16,False
1644,16,False
1645,5,False
1646,0,False
1647,0,False
1648,3,False
1649,1,False
1650,5,False
1651,9,False
1652,0,False
1653,0,False
1654,0,False
1655,0,False
1656,0,False
1657,9,False
1658,9,False
1659,2,False
1660,16,False
1661,0,False
1662,2,False
1663,0,False
1664,5,False
1665,889,False
1666,16,False
1667,16,False
1668,0,False
1669,0,False
1670,0,False
1671,1175,False
1672,0,False
1673,5,False
1674,30,False
1675,0,False
1676,13,False
1677,8,False
1678,7,False
1679,0,False
1680,7,False
1681,3,False
1682,13,False
1683,9,False
1684,0,False
1685,0,False
1686,0,False
1687,0,False
1688,0,False
1689,2,False
1690,1,False
1691,0,False
1692,40,False
1693,1,False
1694,2,False
1695,9,False
1696,13,False
1697,8,False
1698,7,False
1699,3,False
1700,0,False
1701,3,False
1702,7,False
1703,1,False
1704,0,False
1705,1,False
1706,8,False
1707,0,False
1708,889,False
1709,9,False
1710,13,False
1712,0,False
1713,13,False
1714,30,False
1715,1,False
1716,0,False
1717,2208,False
1718,2,False
1719,30,False
1720,0,False
1721,8,False
1722,0,False
1723,3,False
1724,30,False
1725,0,False
1726,8,False
1727,7,False
1728,0,False
1729,7,False
1730,0,False
1731,1,False
1733,3,False
1734,7,False
1735,1,False
1736,0,False
1737,0,False
1738,0,False
1739,0,False
1740,7,False
1741,0,False
1742,7,False
1743,0,False
1744,0,False
1745,0,False
1746,7,False
1747,8,False
1748,496,False
1749,0,False
1750,3,False
1751,0,False
1752,7,False
1753,1,False
1754,1,False
1755,7,False
1756,2226,False
1757,8,False
1758,0,False
1759,1,False
1760,0,False
1762,0,False
1763,1,False
1764,2226,False
1765,0,False
1766,42,False
1767,2,False
1769,0,False
1770,3,False
1771,0,False
1772,3,False
1773,3,False
1774,0,False
1775,2226,False
1776,0,False
1777,3,False
1778,2,False
1779,2,False
1780,0,False
1781,2,False
1782,6,False
1783,31,False
1784,1,False
1785,0,False
1786,40,False
1787,40,False
1788,4,False
1789,1,False
1790,0,False
1791,0,False
1792,592,False
1793,0,False
1794,0,False
1795,0,False
1796,63,False
1797,0,False
1798,1,False
1799,2208,False
1800,2,False
1801,0,False
1802,1,False
1803,0,False
1804,1,False
1805,1,False
1806,1,False
1807,0,False
1808,0,False
1809,2208,False
1810,1,False
1811,2226,False
1812,1,False
1813,0,False
1814,0,False
1815,30,False
1816,3,False
1817,0,False
1818,0,False
1819,3,False
1820,0,False
1821,0,False
1822,0,False
1823,0,False
1824,7,False
1825,0,False
1826,0,False
1827,0,False
1828,3,False
1829,0,False
1830,0,False
1831,0,False
1832,0,False
1833,8,False
1834,0,False
1835,7,False
1837,2,False
1838,7,False
1839,40,False
1840,0,False
1841,2226,False
1842,0,False
1843,7,False
1844,0,False
1845,40,False
1846,0,False
1847,30,False
1848,2,False
1849,0,False
1851,0,False
1852,1,False
1853,2,False
1854,2208,False
1855,40,False
1856,2226,False
1857,0,False
1858,124,False
1859,1,False
1860,0,False
1861,0,False
1862,0,False
1863,0,False
1864,0,False
1865,0,False
1866,0,False
1867,1,False
1868,0,False
1869,4,False
1870,6,False
1871,2226,False
1872,1,False
1873,0,False
1874,4,False
1875,40,False
1876,2226,False
1877,0,False
1878,0,False
1879,1,False
1880,0,False
1881,2,False
1882,30,False
1883,0,False
1884,2,False
1885,40,False
1886,0,False
1887,1,False
1888,40,False
1889,40,False
1890,0,False
1891,0,False
1892,0,False
1893,889,False
1894,2,False
1895,1,False
1896,0,False
1897,0,False
1898,2226,False
1899,2208,False
1900,1,False
1901,0,False
1902,1,False
1903,0,False
1904,2226,False
1905,0,False
1906,40,False
1907,0,False
1908,40,False
1909,1,False
1910,0,False
1911,0,False
1912,2208,False
1913,0,False
1914,30,False
1915,3,False
1916,40,False
1917,9,False
1918,2,False
1919,0,False
1920,825,False
1921,30,False
1922,0,False
1923,0,False
1924,0,False
1925,30,False
1926,40,False
1927,0,False
1928,0,False
1929,0,False
1930,2208,False
1931,1,False
1932,0,False
1933,1,False
1934,40,False
1935,0,False
1936,0,False
1937,0,False
1938,0,False
1939,0,False
1940,40,False
1941,160,False
1942,0,False
1943,1,False
1944,0,False
1945,0,False
1947,496,False
1948,0,False
1949,0,False
1950,1,False
1951,124,False
1952,124,False
1953,1,False
1955,0,False
1956,0,False
1957,1,False
1958,40,False
1959,40,False
1960,40,False
1961,38,False
1962,1,False
1963,40,False
1964,36,False
1965,0,False
1966,0,False
1967,40,False
1968,285,False
1969,0,False
1970,4,False
1971,0,False
1972,40,False
1973,40,False
1974,1,False
1975,0,False
1976,13,False
1977,0,False
1978,0,False
1979,59,False
1980,2226,False
1981,0,False
1982,285,False
1983,124,False
1984,0,False
1985,0,False
1986,0,False
1987,0,False
1988,0,False
1989,0,False
1990,0,False
1991,124,False
1992,825,False
1993,30,False
1994,124,False
1995,0,False
1996,30,False
1997,0,False
1998,0,False
1999,0,False
2000,0,False
2001,0,False
2004,0,False
2005,0,False
2006,346,False
2007,0,False
2008,3,False
2009,0,False
2010,30,False
2011,0,False
2012,30,False
2013,0,False
2014,3,False
2015,1174,False
2016,257,False
2017,30,False
2018,0,False
2019,0,False
2020,1,False
2021,0,False
2022,0,False
2023,0,False
2024,0,False
2025,5,False
2026,0,False
2027,2226,False
2028,0,False
2029,0,False
2030,0,False
2031,0,False
2032,0,False
2033,0,False
2034,0,False
2035,1,False
2036,31,False
2037,0,False
2038,8,False
2039,0,False
2040,889,False
2041,0,False
2042,3,False
2043,889,False
2044,592,False
2045,2208,False
2046,0,False
2047,0,False
2048,2226,False
2049,0,False
2050,1174,False
2051,1174,False
2052,2226,False
2053,0,False
2054,1,False
2055,0,False
2056,2208,False
2057,1,False
2058,510,False
2059,3,False
2060,0,False
2061,2,False
2062,0,False
2063,0,False
2064,30,False
2065,1,False
2066,30,False
2067,0,False
2068,592,False
2069,0,False
2070,2208,False
2071,0,False
2072,53,False
2073,0,False
2074,8,False
2075,592,False
2076,9,False
2077,2226,False
2078,3,False
2079,31,False
2080,3,False
2081,0,False
2082,4,False
2083,2,False
2084,30,False
2086,2226,False
2087,0,False
2088,42,False
2089,0,False
2090,0,False
2091,0,False
2092,1,False
2093,889,False
2094,0,False
2095,2,False
2096,30,False
2097,0,False
2098,0,False
2099,1,False
2100,0,False
2101,1,False
2103,30,False
2104,9,False
2105,0,False
2106,2,False
2107,30,False
2108,0,False
2109,9,False
2110,30,False
2111,31,False
2112,2226,False
2113,16,False
2114,2,False
2115,0,False
2116,0,False
2117,2226,False
2118,1,False
2119,2226,False
2120,26,False
2122,2,False
2123,1,False
2124,0,False
2125,8,False
2126,0,False
2127,0,False
2128,26,False
2130,510,False
2131,1000,False
2132,0,False
2133,0,False
2134,2226,False
2135,2208,False
2136,0,False
2137,592,False
2138,0,False
2139,2208,False
2140,8,False
2141,0,False
2142,1,False
2143,26,False
2144,54,False
2145,26,False
2146,50,False
2147,0,False
2148,0,False
2149,26,False
2150,239,False
2151,26,False
2152,0,False
2153,0,False
2154,35,False
2155,53,False
2156,9,False
2157,27,False
2158,0,False
2159,1,False
2160,0,False
2161,0,False
2162,0,False
2163,8,False
2164,0,False
2165,0,False
2166,346,False
2167,2208,False
2168,2,False
2169,2226,False
2170,0,False
2171,27,False
2172,0,False
2173,0,False
